lon;first_image;item_page_link
7,6543678;https://pwm.im-cdn.it/image/1870347433/cover-m-c.jpg;https://www.immobiliare.it/annunci/126843897/
7,6593061;https://pwm.im-cdn.it/image/1869903391/cover-m-c.jpg;https://www.immobiliare.it/annunci/126824775/
7,71057;https://pwm.im-cdn.it/image/1870309373/cover-m-c.jpg;https://www.immobiliare.it/annunci/126842237/
7,678749;https://pwm.im-cdn.it/image/1870304835/cover-m-c.jpg;https://www.immobiliare.it/annunci/126842063/
7,6522027;https://pwm.im-cdn.it/image/1870308005/cover-m-c.jpg;https://www.immobiliare.it/annunci/126842275/
7,6438724;https://pwm.im-cdn.it/image/1870400591/cover-m-c.jpg;https://www.immobiliare.it/annunci/126846159/
7,6769855;https://pwm.im-cdn.it/image/1870237577/cover-m-c.jpg;https://www.immobiliare.it/annunci/126834733/
7,6737793;https://pwm.im-cdn.it/image/1894497494/cover-m-c.jpg;https://www.immobiliare.it/annunci/126838867/
7,7141301;https://pwm.im-cdn.it/image/1870010097/cover-m-c.jpg;https://www.immobiliare.it/annunci/126829097/
7,6915112;https://pwm.im-cdn.it/image/1870036351/cover-m-c.jpg;https://www.immobiliare.it/annunci/126830221/
7,6489494;https://pwm.im-cdn.it/image/1870265821/cover-m-c.jpg;https://www.immobiliare.it/annunci/126840347/
7,6238145;https://pwm.im-cdn.it/image/1870035475/cover-m-c.jpg;https://www.immobiliare.it/annunci/126829993/
7,6372033;https://pwm.im-cdn.it/image/1869989011/cover-m-c.jpg;https://www.immobiliare.it/annunci/126828469/
7,6677669;https://pwm.im-cdn.it/image/1886469132/cover-m-c.jpg;https://www.immobiliare.it/annunci/127522348/
7,6805531;https://pwm.im-cdn.it/image/1870123265/cover-m-c.jpg;https://www.immobiliare.it/annunci/126833973/
7,6609618;https://pwm.im-cdn.it/image/1890261438/cover-m-c.jpg;https://www.immobiliare.it/annunci/127678092/
7,7074096;https://pwm.im-cdn.it/image/1873864257/cover-m-c.jpg;https://www.immobiliare.it/annunci/126990039/
7,6731334;https://pwm.im-cdn.it/image/1870085729/cover-m-c.jpg;https://www.immobiliare.it/annunci/126832175/
7,6607546;https://pwm.im-cdn.it/image/1872746385/cover-m-c.jpg;https://www.immobiliare.it/annunci/126824575/
